id,name,category,brand,price,oldPrice,rating,reviews,stock,badge,image,desc
1,Green Plate,Disposable Items,Shine Globe,35,40,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786033815909-191,"14+1 Pcs
Durable green disposable plates designed for everyday dining, parties, catering, and special events."
2,Multi Plate 75GSM,Disposable Items,Shine Globe,45,55,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786033720440-366,"19+1 pcs
Extra-strong disposable plates built for superior durability. Designed to handle heavy meals without bending or leaking."
3,Multi Plate 100GSM,Disposable Items,Shine Globe,50,60,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786033710662-600,"19+1 Pcs
Premium-quality disposable plates with enhanced strength and a sturdy design, perfect for serving both hot and cold foods."
4,Decorated Plate,Disposable Items,Shine Globe,70,85,4.5,0,10000,,/assets/images/uploads/img-1786033785396-280,"19+1 pcs
Premium decorative disposable plates crafted with a stylish design and superior quality. Perfect for weddings, parties, festive celebrations, and special occasions."
5,"Green Sitting Plate 12""",Disposable Items,Shine Globe,30,35,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786033830963-968,"Affordable sitting plates designed for everyday use. Lightweight, durable, and perfect for homes, events, and catering."
6,"Green Sitting Plate 14""",Disposable Items,Shine Globe,20,28,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786033838661-927,"15 pcs
Affordable sitting plates designed for everyday use. Lightweight, durable, and perfect for homes, events, and catering."
7,"Silver Sitting Plate 14""",Disposable Items,Shine Globe,15,20,4.5,0,10000,,/assets/images/uploads/img-1786033859618-275,"13 pcs
Affordable sitting plates designed for everyday use. Lightweight, durable, and perfect for homes, events, and catering."
8,Leaf Sitting Plate,Disposable Items,Shine Globe,45,50,4.5,0,10000,New,/assets/images/uploads/img-1786033891438-483,Elegant leaf-style sitting plates that bring a classic touch to every meal. Ideal for special occasions and everyday use.
9,Leaf Buffet Plate,Disposable Items,Shine Globe,150,190,4.5,0,1000,New,/assets/images/uploads/img-1786034143834-767,"20 pcs
Leaf-design buffet plates with a traditional look and sturdy construction, perfect for serving meals at buffets, weddings, festivals, and special events."
10,"Food Grade 12""",Disposable Items,Shine Globe,90,110,4.5,0,10000,New,/assets/images/uploads/img-1786034361888-235,"Manufactured using food-grade materials, these disposable plates offer excellent strength and hygiene for homes, restaurants, and catering services."
11,"Meta Bio 7""",Disposable Items,Shine Globe,70,85,4.5,0,10000,,/assets/images/uploads/img-1786034699571-992,"Premium Bio Eco Plates crafted from biodegradable materials, perfect for parties, catering, restaurants, and eco-conscious dining."
12,"Meta Bio 9""",Disposable Items,Shine Globe,100,120,4.5,0,1000,,/assets/images/uploads/img-1786034762141-22,"Premium Bio Eco Plates crafted from biodegradable materials, perfect for parties, catering, restaurants, and eco-conscious dining."
13,"Meta Bio 12""",Disposable Items,Shine Globe,195,245,4.5,0,1000,,/assets/images/uploads/img-1786034826617-733,"Premium Bio Eco Plates crafted from biodegradable materials, perfect for parties, catering, restaurants, and eco-conscious dining."
14,Meta Bio 4 Cup,Disposable Items,Shine Globe,195,245,4.5,0,10000,,/assets/images/uploads/img-1786035335986-639,"Premium Bio Eco Plates crafted from biodegradable materials, perfect for parties, catering, restaurants, and eco-conscious dining."
15,"Green Plate 7""",Disposable Items,Shine Globe,15,20,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786035525948-663,"Compact and durable green disposable plates, perfect for serving snacks, desserts, appetizers, and light meals."
16,"Green Plate 8""",Disposable Items,Shine Globe,20,25,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786035563982-887,"Compact and durable green disposable plates, perfect for serving snacks, desserts, appetizers, and light meals."
17,"Silver Plate 7""",Disposable Items,Shine Globe,15,20,4.5,0,10000,,/assets/images/uploads/img-1786035607355-994,"Compact and durable silver disposable plates, perfect for serving snacks, desserts, appetizers, and light meals."
18,"Silver Plate 8""",Disposable Items,Shine Globe,20,25,4.5,0,10000,Best Seller,/assets/images/uploads/img-1786035651972-599,"Compact and durable Silver disposable plates, perfect for serving snacks, desserts, appetizers, and light meals."
19,"Thin Silver 6""",Disposable Items,Shine Globe,0,,4.5,0,0,,/assets/images/uploads/img-1786035761301-368,Small Thin Silver plates
20,"Thin Silver 7""",Disposable Items,Shine Globe,8,13,4.5,0,10000,,/assets/images/uploads/img-1786035844940-1,Small Silver thin plates
21,"Paper Plate 7""",Disposable Items,Shine Globe,10,14,4.5,0,10000,,/assets/images/uploads/img-1786035927274-103,Paper plates for snacks
22,"Paper Plate 8""",Disposable Items,Shine Globe,12,16,4.5,0,10000,,/assets/images/uploads/img-1786035975938-415,Paper plates for snacks
